id,name,short_name,location,type,code,phone_no,box_no
132,Xx,Xx,Xz,TFP,23,0,0
133,VICTORIA SCHOOL OF NURSING AND MIDWIFERY - LIRA,VICTORIA,LIRA,PFP,U115,0,0
134,KAMPALA SCHOOL OF HEALTH SCIENCES,KAMPALA ,KAMPALA SHS,,U116,0,0
135,JOHN FISHER INSTITUTE OF HEALTH SCIENCES,JOHN FISHER HIS,LIRA,PFP,U117,782556170,498
136,MASAKA CITY SCHOOL OF NURSING AND HEALTH SCIENCE,MASAKA CITY SNHS,MASAKA,PFP,U118,709480400,1087
137,KIREKA NURSING AND MIDWIFERY TRAINING SCHOOL,KIREKA NMTS,KIREKA,PFP,U119,0,0
138,ST. ELIZABETH INSTITUTE OF NURSING AND MIDWIFERY,ST. ELIZABETH INM.,MUKONO,PFP,U120,0,0
139,AKALO SCHOOL OF NURSING AND MIDWIFERY,AKALO SNM,KOLE,PFP,U121,0,0
140,AGA KHAN UNIVERSITY SCHOOL OF NURSING AND MIDWIFERY,AGA KHAN UNIVERSITY,KAMPALA,PFP,U122,0,0
141,SAMI HEALTH SCIENCE INSTITUTE - NKOZI,SAMI HSI- NKOZI,NKOZI,PFP,U123,0,0
142,ST. ALOSIOUS MUBENDE INSTITUTE OF NURSING AND MIDWIFERY,ST. ALOSIOUS INM,MUBENDE,PFP,U125,0,0
143,METROPOLITAN SCHOOL OF NURSING AND MIDWIFERY,METROPOLITAN SNM,MBARARA,PFP,U124,704622555,344
144,DOUBLE CURE SCHOOL OF NURSING AND MIDWIFERY,DOUBLE CURE,MPIGI,PFP,U126,788511773,100
